label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes
LaCaS1,A32sg_L,-3.393147349,41.5327363,-0.200003624,-4.251669833,33.71100969,-8.042712766,Gray,Left ACgG anterior cingulate gyrus,Area s24,L ACC,L CG,Left cingulate gyrus D,,
LaCaS10,A9l_L,-9.38105917,43.52950203,44.59999371,-11.02222994,36.94557486,47.10335408,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 3 C,,
LaCaS11,A9l_L,-9.780253291,43.52950203,49.39999342,-11.50926423,37.1220918,52.92624682,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 3 C,,
LaCaS12,Unknown,-10.17944741,43.92885518,54.59999311,-12.06506735,37.85157753,59.28789533,Gray,Unknown,Unknown,Unknown,Unknown,Left superior frontal gyrus 4 C,,Borderline
LaCaS2,A32sg_L,-4.191535592,41.93208945,4.999996066,-5.287424587,34.46614781,-1.496306426,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus D,,
LaCaS3,A24rv_L,-4.989923835,41.93208945,9.79999578,-6.25625491,34.71743577,4.547615308,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus E,,
LaCaS4,A32p_L,-5.389117956,41.93208945,14.59999549,-6.748499711,34.8854061,10.5541041,Gray,Left ACgG anterior cingulate gyrus,Area 33,L ACC,L CG,Left cingulate gyrus F,,
LaCaS5,A32p_L,-6.187506199,42.33144259,19.39999521,-7.615038959,35.41203952,16.46780095,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus G,,
LaCaS6,A32p_L,-6.985894442,42.33144259,24.5999949,-8.556604684,35.40061569,22.84847572,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus G,,
LaCaS7,A9m_L,-7.385088563,42.73079574,29.39999461,-9.004288975,35.82996488,28.69556555,White,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 2 A,WM,
LaCaS8,A9m_L,-8.183476806,42.73079574,34.5999943,-9.734886351,35.88644972,35.05330995,Gray,Left Cerebral White Matter,Unknown,L Superior Medial Gyrus,L SFG,Unknown,Left superior frontal gyrus 2 A,
LaCaS9,A9m_L,-8.981865048,43.13014889,39.39999402,-10.55718048,36.40855371,40.85267868,White,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 3 B,WM,
