label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
umOlF,A11m_L,-5.954450727,58.30887091,-5.446997702,-5.251752211,52.37738169,-19.50263414,Gray,Left GRe gyrus rectus,Area Fo1,L Rectal Gyrus,L OrG,Left frontal orbital 2 A,WM,WM
uLAgIT,mAmyg_L,-17.9517535,11.14671314,-15.84100741,-18.63020426,-2.284212478,-22.59112638,Gray,Left Amygdala,Amygdala (LB),L Amygdala,L Amyg,Left amygdala inferior,,Left amygdala inferior
LaCaS1,A32sg_L,-5.954450727,37.52554715,2.948163986,-5.375178214,31.11391557,-6.133333531,Gray,Left ACgG anterior cingulate gyrus,Area s24,L ACC,L CG,Left cingulate gyrus D,WM,WM
LaCaS10,A9l_L,-10.35346174,45.11945391,48.92166847,-9.051640961,49.42331192,46.0983054,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 2 C,,Left superior frontal gyrus 2 C
LaCaS11,Unknown,-10.75337183,46.31849182,52.1198253,-9.423594592,51.60223864,49.76832552,Unknown,Unknown,Unknown,L Superior Medial Gyrus,Unknown,Left superior frontal gyrus 2 C,OOB,OOB
LaCaS12,Unknown,-11.15328193,47.51752973,56.51729095,-9.810496687,54.17192903,54.86721389,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LaCaS2,A32sg_L,-6.354360819,38.32490575,8.145168841,-5.611034594,33.26433775,-0.3431030088,Gray,Left ACgG anterior cingulate gyrus,Area 33,L ACC,L CG,Left cingulate gyrus D,,Left cingulate gyrus D
LaCaS3,A24rv_L,-6.754270911,39.12426436,12.94240409,-5.938582495,35.18466586,5.058285825,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus E,WM,WM
LaCaS4,A32p_L,-7.154181004,40.32330227,18.13940895,-6.301215785,37.58820769,10.86354218,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,,Left cingulate gyrus F
LaCaS5,A32p_L,-7.954001188,41.12266088,22.9366442,-7.028132432,39.47530435,16.29719703,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus G,,Left cingulate gyrus G
LaCaS6,A32p_L,-7.954001188,41.92201948,28.13364905,-6.836528716,41.41141967,22.23283114,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L ACC,L CG,Left superior frontal gyrus 1 A,,Left superior frontal gyrus 1 A
LaCaS7,A10m_L,-8.753821373,42.72137809,33.33065391,-7.616885951,43.35658734,28.17158569,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 1 A,WM,WM
LaCaS8,A9m_L,-9.153731465,43.52073669,38.12788916,-7.900246799,45.19450109,33.62685755,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 2 B,,Left superior frontal gyrus 2 B
LaCaS9,A9l_L,-9.95355165,45.11945391,43.32489401,-8.707683333,48.04864819,39.46018032,White,Left SFG superior frontal gyrus,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 2 B,WM,WM
LAglT1,mAmyg_L,-21.95085442,11.14671314,-14.6416986,-22.93172134,-2.137075314,-21.08171716,Gray,Left Amygdala,Amygdala (LB),L Amygdala,L Amyg,Left amygdala superior,,Left amygdala superior
LAglT2,lAmyg_L,-26.74977553,11.14671314,-13.44238979,-28.12250268,-1.978970904,-19.56219799,Gray,Left Ent entorhinal area,Amygdala (LB),L Amygdala,L Amyg,Left amygdala superior,,Left amygdala superior
LAglT3,Unknown,-31.14878654,11.14671314,-12.64285058,-32.90206552,-1.880846145,-18.57300452,Gray,Left Cerebral White Matter,Unknown,Unknown,Unknown,Left amygdala superior,WM,WM
LAglT4,vId/vIg_L,-35.54779756,11.14671314,-11.44354177,-37.71424396,-1.656419169,-17.1901403,Gray,Left PIns posterior insula,Area Id1,Unknown,L INS,Left superior temporal gyrus A,WM,WM
LAglT5,A38l_L,-40.34671867,11.14671314,-10.64400256,-43.02844443,-1.40358313,-16.28011147,Gray,Left PP planum polare,Area Id1,L Middle Temporal Gyrus,L STG,Left superior temporal gyrus A,,Left superior temporal gyrus A
LAglT6,A22r_L,-45.14563978,11.14671314,-9.444693744,-48.17544872,-0.9528727303,-14.72466626,Gray,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,L STG,Left superior temporal gyrus A,,Left superior temporal gyrus A
LAglT7,A22r_L,-50.74438107,11.14671314,-8.645154536,-54.09072334,-0.5103558312,-13.49349714,Gray,Left STG superior temporal gyrus,Area TE 3,L Superior Temporal Gyrus,L STG,Left superior temporal gyrus A,WM,WM
LAglT8,A22r_L,-55.54330218,11.14671314,-7.445845723,-59.14244993,-0.05518795681,-11.94693635,Gray,Left STG superior temporal gyrus,Area TE 3,L Superior Temporal Gyrus,L STG,Left superior temporal gyrus A,,Left superior temporal gyrus A
LAglT9,Unknown,-60.34222329,11.14671314,-6.246536911,-64.18936731,0.3521665277,-10.46934697,Gray,Unknown,Area TE 3,Unknown,Unknown,Left superior temporal gyrus A,,Left superior temporal gyrus A
LalpS1,dIa_L,-32.34851682,26.33452666,4.547242403,-34.2822262,18.98058492,-2.266818918,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Unknown,Left anterior short insular gyrus B,Left anterior short insular gyrus B
LalpS10,A8vl_L,-29.14923608,12.74543035,46.92282045,-29.99301182,13.0812392,47.76430203,White,Left Cerebral White Matter,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 6 A,,Left middle frontal gyrus 6 A
LalpS11,A8vl_L,-28.74932599,11.14671314,52.1198253,-29.53209642,12.51477613,53.81875616,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 7 A,,Left middle frontal gyrus 7 A
LalpS12,A6vl_L,-28.74932599,9.547995925,56.11752135,-29.47838545,11.6827791,58.5509479,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left superior frontal gyrus 5 D,,Left superior frontal gyrus 5 D
LalpS13,A6vl_L,-28.3494159,8.748637319,60.9147566,-28.8978668,11.91411883,64.09071036,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left superior frontal gyrus 5 D,,Left superior frontal gyrus 5 D
LalpS14,Unknown,-28.74932599,7.549599409,64.91245264,-29.27441798,11.47110101,68.88117711,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LalpS2,dIa_L,-32.34851682,24.73580945,8.944708049,-34.00312006,18.10277552,2.971030096,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left anterior short insular gyrus A,,Left anterior short insular gyrus A
LalpS3,A44op_L,-31.94860673,23.13709223,14.1417129,-33.33816897,17.46969673,9.137690327,Gray,Left FO frontal operculum,Unknown,L Insula Lobe,L IFG,Left pars opercularis C,,Left pars opercularis C
LalpS4,A44op_L,-31.54869664,21.93805432,18.53917855,-32.83273879,17.19617816,14.3762378,White,Left Cerebral White Matter,Unknown,L Insula Lobe,L IFG,Left pars opercularis C,WM,WM
LalpS5,Unknown,-30.74887645,20.33933711,23.7361834,-31.87779924,16.66235662,20.61391987,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
LalpS6,IFJ_L,-30.34896636,18.7406199,28.53341866,-31.32233407,15.94815462,26.28969091,White,Left MFG middle frontal gyrus,Unknown,L IFG (p Opercularis),L MFG,Unknown,WM,WM
LalpS7,IFJ_L,-29.94905627,17.14190269,33.33065391,-30.8416294,15.13951128,31.88317499,White,Left Cerebral White Matter,Unknown,L IFG (p Opercularis),L MFG,Unknown,WM,WM
LalpS8,Unknown,-29.54914618,15.94286478,37.72811955,-30.42892529,14.65660198,36.94888321,White,Left Cerebral White Matter,Unknown,L Middle Frontal Gyrus,Unknown,Unknown,WM,WM
LalpS9,A8vl_L,-29.14923608,14.74382687,42.92512441,-30.00270375,14.39021551,42.94796737,White,Left Cerebral White Matter,Unknown,L Middle Frontal Gyrus,L MFG,Unknown,WM,WM
LHplT1,rHipp_L,-21.15103424,-1.643024564,-17.83985543,-22.3845608,-16.98668163,-22.60652816,Gray,Left Hippocampus,Subiculum,L ParaHippocampal Gyrus,L Hipp,Left hippocampus pes,,Left hippocampus pes
LHplT10,aSTS_L,-65.14114439,0.3553719521,-7.845615327,-69.77685137,-11.78160617,-10.4305295,Gray,Unknown,Area TE 3,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,OOB,OOB
LHplT2,cHipp_L,-25.94995534,-1.243345261,-16.64054662,-27.39900605,-16.33555518,-21.02584755,Gray,Left Hippocampus,DG (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,,Left hippocampus pes
LHplT3,cHipp_L,-30.74887645,-1.243345261,-15.44123781,-32.52234366,-16.12225097,-19.49606427,Gray,Left Hippocampus,DG (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,,Left hippocampus pes
LHplT4,A20rv_L,-35.94770765,-0.8436659575,-14.6416986,-38.24927407,-15.47501516,-18.55466549,Gray,Left Cerebral White Matter,CA1 (Hippocampus),L Fusiform Gyrus,L FuG,Left hippocampus pes,OOB,OOB
LHplT5,Unknown,-40.74662876,-0.4439866543,-13.44238979,-43.54592314,-14.72768732,-17.22067525,White,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,Unknown,Unknown,WM,WM
LHplT6,aSTS_L,-45.54554987,-0.4439866543,-12.64285058,-48.76193136,-14.48210021,-16.24897345,White,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,WM,WM
LHplT7,aSTS_L,-50.34447098,-0.04430735111,-11.44354177,-53.9606584,-13.59385273,-14.7617883,White,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,WM,WM
LHplT8,aSTS_L,-55.54330218,0.3553719521,-10.64400256,-59.56459058,-12.73663099,-13.74017743,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,,Left superior middle temporal gyrus B
